page,section,item,field,value
global,navigation,1,label,Top
global,navigation,1,href,/
global,navigation,2,label,About
global,navigation,2,href,/about-us
global,navigation,3,label,Service
global,navigation,3,href,/service
global,navigation,5,label,Contact
global,navigation,5,href,/contact
global,footer,main,tagline,Japan onboarding for global products and Japanese commercial vehicles for global buyers.
global,footer,main,privacyLabel,Privacy Policy
global,footer,main,copyright,© 2026 A-One Road
global,contactInfo,1,label,Email
global,contactInfo,1,value,admin@a1-road.com
global,contactInfo,2,label,Base
global,contactInfo,2,value,Yokohama Japan
global,socials,1,label,X
global,socials,1,href,https://twitter.com/a1road
global,socials,2,label,LinkedIn
global,socials,2,href,https://linkedin.com/company/a1road
global,socials,3,label,GitHub
global,socials,3,href,https://github.com/A1-Road
top,hero,main,eyebrow,Our Mission
top,hero,main,title,Restore rightful value.
top,hero,main,copy,"We become the storyteller of the world's hidden value. A-one road lives this out through two businesses: bringing the world's best technology into Japan, and automotive (vehicle export, parts, and events).", commercial vehicle export from Japan, and automotive culture events.
top,hero,main,primaryLabel,See what we do
top,hero,main,primaryHref,#what-we-do
top,hero,main,secondaryLabel,Contact
top,hero,main,secondaryHref,/contact
top,hero,main,image,/hero-track.png
top,hero,main,scroll,Scroll
top,identity,main,eyebrow,Our Vision
top,identity,main,title,We become the storyteller of the world's hidden value.
top,identity,main,copy,We re-edit undervalued assets — software, vehicles, and automotive culture — and deliver them to markets where they are rightly valued.
top,whatWeDoHeader,main,eyebrow,Business
top,whatWeDoHeader,main,title,What we do
top,whatWeDoHeader,main,copy,Two businesses born from one mission.
top,whatWeDo,1,tag,GLOBAL GTM PARTNER
top,whatWeDo,1,title,Solve your challenge with the world's technology.
top,whatWeDo,1,copy,"For your business or IT challenge, we select the right product from anywhere in the world, configure it, and support adoption."
top,whatWeDo,1,image,/workflow.png
top,whatWeDo,1,href,/global-vendors
top,whatWeDo,1,linkLabel,Learn more
top,whatWeDo,2,tag,MOBILITY
top,whatWeDo,2,title,Mobility
top,whatWeDo,2,copy,"Vehicle export, parts support, and event operations — delivering the value of Japanese automobiles as both products and culture.", from selection through export procedures.
top,whatWeDo,2,image,/business-sourcing.png
top,whatWeDo,2,href,/service/automotive
top,whatWeDo,2,linkLabel,Learn more
top,servicePreviewHeader,main,eyebrow,Vehicle Export
top,servicePreviewHeader,main,title,Commercial Vehicle Export Services
top,servicePreviewHeader,main,linkLabel,View all
top,servicePreviewHeader,main,linkHref,/service
top,servicePreview,1,title,Business Sourcing
top,servicePreview,1,copy,We narrow candidate vehicles against the buyer brief and move sourcing decisions forward.
top,servicePreview,1,image,/business-sourcing.png
top,servicePreview,1,href,/service#business-sourcing
top,servicePreview,2,title,Bulk Orders
top,servicePreview,2,copy,We support multi-unit sourcing alignment and commercial coordination.
top,servicePreview,2,image,/bulk-orders.png
top,servicePreview,2,href,/service#bulk-orders
top,servicePreview,3,title,Export Support
top,servicePreview,3,copy,We reduce friction in export coordination and handover.
top,servicePreview,3,image,/export-support.png
top,servicePreview,3,href,/service#export-support
top,visualHeader,main,eyebrow,Visual
top,visualHeader,main,title,Proof by atmosphere.
top,visualProof,1,image,/visual-proof-2.png
top,visualProof,1,alt,Japanese vehicle sourcing visual
top,visualProof,2,image,/HP2copy.png
top,visualProof,2,alt,Vehicle and road visual
top,visualProof,3,image,/hptop.png
top,visualProof,3,alt,Commercial vehicle export visual
top,visualProof,4,image,/workflow.png
top,visualProof,4,alt,Export support visual
top,aboutPreview,main,eyebrow,About
top,aboutPreview,main,title,Why this company exists.
top,aboutPreview,main,copy,We re-edit overlooked value and deliver it to markets where it is properly appreciated — from software to vehicles to automotive culture.
top,aboutPreview,main,linkLabel,About
top,aboutPreview,main,linkHref,/about-us
top,aboutPreview,main,image,/about-preview.png
top,signalHeader,main,eyebrow,Process
top,signalHeader,main,title,Verified Vehicle Information
top,signalSteps,1,number,01
top,signalSteps,1,title,Business Sourcing
top,signalSteps,1,copy,Business Sourcing
top,signalSteps,2,number,02
top,signalSteps,2,title,Bulk Orders
top,signalSteps,2,copy,Bulk Orders
top,signalSteps,3,number,03
top,signalSteps,3,title,Export Support
top,signalSteps,3,copy,Export Support
top,contactCta,main,eyebrow,Contact
top,contactCta,main,title,Start the conversation.
top,contactCta,main,copy,"From bringing global software products to Japan, to sourcing and exporting Japanese commercial vehicles — tell us what you need.", business sourcing discussions, and document requests.
top,contactCta,main,buttonLabel,Go to Contact
top,contactCta,main,buttonHref,/contact
about,hero,main,eyebrow,About
about,hero,main,title,Unearth hidden values.
about,hero,main,copy,The world's technology and Japan's field - we deliver overlooked value to markets where it is rightly valued., posture, and business definition.
about,hero,main,image,/about-hero.png
about,statement,main,eyebrow,Statement
about,statement,main,title,We become the storyteller of the world's hidden value.
about,statement,main,copy,Excellent yet unknown. Valuable yet undelivered. Closing that gap is our work.
about,philosophyHeader,main,eyebrow,Philosophy
about,philosophyHeader,main,title,Three anchors.
about,philosophy,1,title,Mission
about,philosophy,1,copy,Reduce structures that bury value and increase transactions where value reaches the right buyer.
about,philosophy,2,title,Vision
about,philosophy,2,copy,Keep connecting Japanese vehicles and field knowledge with real demand worldwide.
about,philosophy,3,title,Definition
about,philosophy,3,copy,"A company that re-edits the world's technology and Japan's value, connecting each to markets where it is rightly valued."
about,story,main,eyebrow,APPROACH
about,story,main,title,"Two businesses, one purpose."
about,story,main,copy,"We run two businesses. One is a global GTM partner that selects and adopts the world's leading products for Japanese companies' challenges. The other is mobility - conveying the value of Japanese vehicles, and handling sourcing and export. Different domains, same work: finding hidden value and delivering it right."
about,story,main,image,/about-story.png
about,differentiatorHeader,main,eyebrow,Difference
about,differentiatorHeader,main,title,Two businesses
about,differentiator,1,title,Global GTM Partner
about,differentiator,1,copy,"Select, connect and adopt the world's leading products for Japanese companies' challenges."
about,differentiator,2,title,Mobility
about,differentiator,2,copy,"Convey the value of Japanese vehicles, and handle sourcing and export."
about,companyInfoHeader,main,eyebrow,Company
about,companyInfoHeader,main,title,Company Information
about,companyInfoHeader,main,copy,Corporate details.
about,companyInfo,1,label,Company Name
about,companyInfo,1,value,A-One Road Co., Ltd.
about,companyInfo,2,label,Established
about,companyInfo,2,value,March 2021
about,companyInfo,3,label,Renamed
about,companyInfo,3,value,November 2025
about,companyInfo,4,label,Representative Director
about,companyInfo,4,value,Kazuma Tamura
about,companyInfo,5,label,Corporate Number
about,companyInfo,5,value,9020001140520
about,companyInfo,6,label,Contact
about,companyInfo,6,value,Email: admin@a1-road.com
about,companyInfo,7,label,Address
about,companyInfo,7,value,Wizard Building 402, 1-4-3 Sengencho, Nishi-ku, Yokohama, Kanagawa, Japan
service,hero,main,eyebrow,Service
service,hero,main,title,Mobility
service,hero,main,copy,"From Japanese kei trucks, kei vans and light commercial vehicles to specialty vehicles, we source and export a wide range — with support across selection, parts, vehicle information and export operations."
service,indexHeader,main,eyebrow,Index
service,indexHeader,main,title,Four service blocks.
service,index,1,id,pr-marketing-events
service,index,1,title,"Automotive PR, Marketing & Events"
service,index,1,line,"PR, marketing & events"
service,index,1,image,/DAONIGHT2024.png
service,index,2,id,vehicle-sourcing
service,index,2,title,Vehicle Sourcing
service,index,2,line,Sourcing & export
service,index,2,image,/business-sourcing.png
service,detail,1,id,pr-marketing-events
service,detail,1,title,"Automotive PR, Marketing & Events"
service,detail,1,what,"We plan and run automotive PR, marketing and events end to end."
service,detail,1,value,We convey a vehicle's value through both product and culture.
service,detail,1,flow,From concept and outreach to on-site operation.
service,detail,1,output,"PR, marketing & event operations."
service,detail,2,id,vehicle-sourcing
service,detail,2,title,Vehicle Sourcing
service,detail,2,what,"We source and export Japanese commercial, light and specialty vehicles for individuals and businesses."
service,detail,2,value,"We support selection by use and market, and export procedures."
service,detail,2,flow,From requirements to candidates to export.
service,detail,2,output,Vehicle sourcing & export.
service,processHeader,main,eyebrow,Process
service,processHeader,main,title,Four steps.
service,process,1,number,01
service,process,1,title,United States
service,process,1,copy,U.S. market support
service,process,2,number,02
service,process,2,title,Europe
service,process,2,copy,European market support
service,process,3,number,03
service,process,3,title,Other markets
service,process,3,copy,Other regional support
service,process,4,number,04
service,process,4,title,Japan
service,process,4,copy,Sourced in Japan
service,faqHeader,main,eyebrow,FAQ
service,faqHeader,main,title,Short answers.
service,faq,1,question,What vehicles do you handle
service,faq,1,answer,We mainly source kei trucks, vans, and compact commercial vehicles.
service,faq,2,question,Can businesses request multiple vehicles
service,faq,2,answer,"We handle kei trucks, kei vans and light commercial vehicles, as well as specialty and other commercial vehicles.", bulk sourcing is supported.
service,faq,3,question,Which markets do you support
service,faq,3,answer,United States, Europe, and other regions.
service,faq,4,question,Can vehicle condition be confirmed
service,faq,4,answer,Available information is organized and shared.
service,faq,5,question,Can I contact you before deciding
service,faq,5,answer,Yes, inquiries are welcome.
service,contactCta,main,eyebrow,Contact
service,contactCta,main,title,Discuss your requirement.
service,contactCta,main,buttonLabel,Contact
service,contactCta,main,buttonHref,/contact
contact,hero,main,eyebrow,Contact
contact,hero,main,title,Contact
contact,hero,main,copy,admin@a1-road.com
contact,methodsHeader,main,eyebrow,Methods
contact,methodsHeader,main,title,Three options.
contact,methods,1,title,Form
contact,methods,1,line,Primary channel
contact,methods,2,title,Email
contact,methods,2,line,admin@a1-road.com
contact,methods,3,title,LinkedIn
contact,methods,3,line,External channel
contact,formHeader,main,eyebrow,Form
contact,formHeader,main,title,For partnerships press and general inquiries
contact,formHeader,main,copy,
contact,form,main,typeLabel,Inquiry Type
contact,form,main,nameLabel,Name
contact,form,main,emailLabel,Email
contact,form,main,subjectLabel,Subject
contact,form,main,messageLabel,Message
contact,form,main,submitLabel,Send
contact,form,main,submittingLabel,Sending
contact,formOptions,1,value,General Inquiry
contact,formOptions,2,value,Business Sourcing
contact,formOptions,3,value,Document Request
contact,infoHeader,main,eyebrow,Info
contact,infoHeader,main,title,Supplement.
contact,info,1,label,Hours
contact,info,1,value,Weekdays 10:00 to 18:00 JST
contact,info,2,label,Reply
contact,info,2,value,We usually reply within two business days.
contact,info,3,label,Base
contact,info,3,value,Yokohama Japan
contact,info,4,label,SNS
contact,info,4,value,X / LinkedIn / GitHub
contact,reassurance,main,text,
globalVendors,hero,main,eyebrow,GLOBAL GTM PARTNER
globalVendors,hero,main,title,"The world's best technology, matched to your challenge."
globalVendors,hero,main,copy,"Tell us your business or IT challenge. We select the right product from anywhere in the world, configure it, and see it through to adoption.", position, and sell in the Japanese market. Bilingual Japanese-English operation, based in Yokohama.
globalVendors,hero,main,primaryLabel,Contact us
globalVendors,hero,main,primaryHref,/contact
globalVendors,intro,main,eyebrow,HOW WE HELP
globalVendors,intro,main,title,"Start from the challenge, find the right move.", not a directory.
globalVendors,intro,main,copy,"We bridge language, trust, and how decisions get made — in Japanese and in English.", trust, and enterprise decision processes. We work as your hands-on partner on the ground: we speak with your prospects in Japanese, report back in English, and turn interest into a concrete PoC pipeline.
globalVendors,servicesHeader,main,eyebrow,What we do
globalVendors,servicesHeader,main,title,What we provide
globalVendors,servicesHeader,main,copy,From framing the challenge to lasting adoption.
globalVendors,services,1,title,Discovery
globalVendors,services,1,copy,We frame your business and IT challenge and define what to solve., regulatory context, and honest feedback from target users.
globalVendors,services,2,title,Product selection
globalVendors,services,2,copy,We choose the best-fitting product from candidates worldwide., in natural Japanese.
globalVendors,services,4,title,Design & PoC
globalVendors,services,4,copy,We combine products into a form that proves the outcome., one-pagers, and demo scripts that match local business conventions.
globalVendors,services,5,title,Rollout & adoption
globalVendors,services,5,copy,From contract and rollout to lasting day-to-day use.
globalVendors,services,7,title,Ongoing support
globalVendors,services,7,copy,We keep improving and extending after go-live., with clear success criteria.
globalVendors,pilotHeader,main,eyebrow,Engagement
globalVendors,pilotHeader,main,title,Start small.
globalVendors,pilotHeader,main,copy,"We validate a fitting product within a fixed window. If it lands, we move to full rollout.", fixed-scope engagement that tests Japan through real conversations — not a report written from a desk.
globalVendors,pilotFacts,2,label,Duration
globalVendors,pilotFacts,2,value,30–45 days
globalVendors,pilotFacts,3,label,How it runs
globalVendors,pilotFacts,3,value,We agree on activities and deliverables before we start.
globalVendors,deliverablesHeader,main,eyebrow,Deliverables
globalVendors,deliverablesHeader,main,title,What the pilot produces.
globalVendors,deliverables,1,number,01
globalVendors,deliverables,1,title,Challenge & requirements
globalVendors,deliverables,1,copy,We put the challenge and the conditions to meet into writing., pricing, and market fit.
globalVendors,deliverables,2,number,02
globalVendors,deliverables,2,title,Recommended product
globalVendors,deliverables,2,copy,"We show the fitting product and how to combine it, concretely."
globalVendors,deliverables,3,number,03
globalVendors,deliverables,3,title,Validation plan (PoC)
globalVendors,deliverables,3,copy,We design the next proof step to confirm the outcome.
globalVendors,termsHeader,main,eyebrow,How we work
globalVendors,termsHeader,main,title,How we work
globalVendors,terms,1,title,Scope of commitment
globalVendors,terms,1,copy,We commit to the agreed activities and deliverables., not to sales outcomes.
globalVendors,terms,2,title,What we ask of you
globalVendors,terms,2,copy,"Share your current challenge and environment, and join the validation.", product documentation, and technical support during the pilot.
globalVendors,terms,3,title,What we handle
globalVendors,terms,3,copy,"Selection, configuration, rollout and adoption — end to end.", meetings, and interviews in Japanese, reporting in English.
globalVendors,companyHeader,main,eyebrow,Company
globalVendors,companyHeader,main,title,Who runs it
globalVendors,company,1,label,Company
globalVendors,company,1,value,A-one road co.,ltd (エーワンロード株式会社)
